2023-05-02 08:40:55,844 INFO    MainThread:24923 [wandb_setup.py:_flush():76] Configure stats pid to 24923
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_setup.py:_flush():76] Loading settings from /Users/mt361/.config/wandb/settings
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_setup.py:_flush():76] Loading settings from /Users/mt361/Desktop/RL-Bandits/wandb/settings
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/Users/mt361/Desktop/RL-Bandits/train.py'}
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_init.py:_log_setup():507] Logging user logs to /Users/mt361/Desktop/RL-Bandits/wandb/run-20230502_084055-7oqcjw7z/logs/debug.log
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/mt361/Desktop/RL-Bandits/wandb/run-20230502_084055-7oqcjw7z/logs/debug-internal.log
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_init.py:init():547] calling init triggers
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_init.py:init():595] starting backend
2023-05-02 08:40:55,845 INFO    MainThread:24923 [wandb_init.py:init():599] setting up manager
2023-05-02 08:40:55,847 INFO    MainThread:24923 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-05-02 08:40:55,849 INFO    MainThread:24923 [wandb_init.py:init():605] backend started and connected
2023-05-02 08:40:55,852 INFO    MainThread:24923 [wandb_init.py:init():695] updated telemetry
2023-05-02 08:40:55,873 INFO    MainThread:24923 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-05-02 08:40:56,160 INFO    MainThread:24923 [wandb_run.py:_on_init():2176] communicating current version
2023-05-02 08:40:56,275 INFO    MainThread:24923 [wandb_run.py:_on_init():2185] got version response 
2023-05-02 08:40:56,275 INFO    MainThread:24923 [wandb_init.py:init():782] starting run threads in backend
2023-05-02 08:40:58,952 INFO    MainThread:24923 [wandb_run.py:_console_start():2157] atexit reg
2023-05-02 08:40:58,953 INFO    MainThread:24923 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-05-02 08:40:58,953 INFO    MainThread:24923 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-05-02 08:40:58,953 INFO    MainThread:24923 [wandb_run.py:_redirect():2102] Redirects installed.
2023-05-02 08:40:58,953 INFO    MainThread:24923 [wandb_init.py:init():824] run started, returning control to user process
2023-05-02 08:41:05,584 WARNING MsgRouterThr:24923 [router.py:message_loop():77] message_loop has been closed
