Episode: 1 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 2 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 160.00
Episode: 3 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 160.00
Episode: 4 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 120.00
Episode: 5 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 40.00
Episode: 6 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 50.00
Episode: 7 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 8 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 9 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 10 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 70.00
Episode: 11 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 12 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 13 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 60.00
Episode: 14 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 15 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 160.00
Episode: 16 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 17 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 50.00
Episode: 18 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 19 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 20 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 21 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 22 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 23 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 24 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 70.00
Episode: 25 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 26 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 27 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 60.00
Episode: 28 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 180.00
Episode: 29 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 30 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 31 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 32 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 33 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 34 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 50.00
Episode: 35 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 36 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 37 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 38 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 160.00
Episode: 39 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 40 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 60.00
Episode: 41 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 190.00
Episode: 42 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 120.00
Episode: 43 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 60.00
Episode: 44 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 45 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 60.00
Episode: 46 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 190.00
Episode: 47 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 70.00
Episode: 48 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 170.00
Episode: 49 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 50 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 51 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 52 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 53 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 54 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 55 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 56 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 60.00
Episode: 57 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 58 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 59 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 60 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 61 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 62 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 63 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 64 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 65 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 66 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 67 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 70.00
Episode: 68 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 69 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 70 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 71 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 72 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 73 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 74 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 30.00
Episode: 75 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 76 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 77 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 200.00
Episode: 78 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 79 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 160.00
Episode: 80 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 70.00
Episode: 81 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 120.00
Episode: 82 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 160.00
Episode: 83 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 84 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 150.00
Episode: 85 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 70.00
Episode: 86 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 87 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 88 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 89 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 90 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 91 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 120.00
Episode: 92 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 93 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 30.00
Episode: 94 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 95 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 100.00
Episode: 96 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 97 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 120.00
Episode: 98 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 99 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 100 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 180.00
Episode: 101 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 102 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 103 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 70.00
Episode: 104 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 120.00
Episode: 105 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 120.00
Episode: 106 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 150.00
Episode: 107 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 108 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 109 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 110 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 111 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 90.00
Episode: 112 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 130.00
Episode: 113 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 80.00
Episode: 114 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 110.00
Episode: 115 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Episode: 116 | Timesteps Played: 1 | Mean Loss: 0.00 |Mean Reward: 140.00
Traceback (most recent call last):
  File "/Users/mt361/Desktop/RL-Bandits/train.py", line 61, in <module>
    algo.train()
  File "/Users/mt361/Desktop/RL-Bandits/algo.py", line 434, in train
    reward, next_frame, done = env_output[1], self.preprocess(env_output[0]), utils.get_done(env)
  File "/Users/mt361/Desktop/RL-Bandits/algo.py", line 374, in preprocess
    image_tensor = torch.tensor(obs).float()
KeyboardInterrupt
