[INFO:2023-05-03 08:58:21,964] **FILLING BUFFER** | Episode: 1 | Timesteps Played: 167 | Mean Loss: 0.000 | Mean Reward: 0.599
[INFO:2023-05-03 08:58:22,203] **FILLING BUFFER** | Episode: 2 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773
[INFO:2023-05-03 08:58:22,471] **FILLING BUFFER** | Episode: 3 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773
[INFO:2023-05-03 08:58:22,703] **FILLING BUFFER** | Episode: 4 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559
[INFO:2023-05-03 08:58:22,938] **FILLING BUFFER** | Episode: 5 | Timesteps Played: 203 | Mean Loss: 0.000 | Mean Reward: 0.640
[INFO:2023-05-03 08:58:23,176] **FILLING BUFFER** | Episode: 6 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.541
[INFO:2023-05-03 08:58:23,412] **FILLING BUFFER** | Episode: 7 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.785
[INFO:2023-05-03 08:58:23,651] **FILLING BUFFER** | Episode: 8 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.628
[INFO:2023-05-03 08:58:23,880] **FILLING BUFFER** | Episode: 9 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.518
[INFO:2023-05-03 08:58:24,098] **FILLING BUFFER** | Episode: 10 | Timesteps Played: 175 | Mean Loss: 0.000 | Mean Reward: 0.343
[INFO:2023-05-03 08:58:24,330] **FILLING BUFFER** | Episode: 11 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.466
[INFO:2023-05-03 08:58:24,615] **FILLING BUFFER** | Episode: 12 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559
[INFO:2023-05-03 08:58:24,825] **FILLING BUFFER** | Episode: 13 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.405
[INFO:2023-05-03 08:58:25,044] **FILLING BUFFER** | Episode: 14 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.615
[INFO:2023-05-03 08:58:25,254] **FILLING BUFFER** | Episode: 15 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.643
