[INFO:2023-05-03 09:03:59,485] Episode: 1 | Timesteps Played: 167 | Mean Loss: 0.000 | Mean Reward: 0.599 | Target Updates: 0
[INFO:2023-05-03 09:03:59,732] Episode: 2 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773 | Target Updates: 0
[INFO:2023-05-03 09:03:59,982] Episode: 3 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773 | Target Updates: 0
[INFO:2023-05-03 09:04:00,220] Episode: 4 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559 | Target Updates: 0
[INFO:2023-05-03 09:04:00,494] Episode: 5 | Timesteps Played: 203 | Mean Loss: 0.000 | Mean Reward: 0.640 | Target Updates: 0
[INFO:2023-05-03 09:04:00,709] Episode: 6 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.541 | Target Updates: 0
[INFO:2023-05-03 09:04:00,936] Episode: 7 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.785 | Target Updates: 0
[INFO:2023-05-03 09:04:01,162] Episode: 8 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.628 | Target Updates: 0
[INFO:2023-05-03 09:04:01,391] Episode: 9 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.518 | Target Updates: 0
[INFO:2023-05-03 09:04:01,615] Episode: 10 | Timesteps Played: 175 | Mean Loss: 0.000 | Mean Reward: 0.343 | Target Updates: 0
[INFO:2023-05-03 09:04:01,852] Episode: 11 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.466 | Target Updates: 0
[INFO:2023-05-03 09:04:02,072] Episode: 12 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559 | Target Updates: 0
[INFO:2023-05-03 09:04:02,280] Episode: 13 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.405 | Target Updates: 0
[INFO:2023-05-03 09:04:02,492] Episode: 14 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.615 | Target Updates: 0
[INFO:2023-05-03 09:04:02,689] Episode: 15 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.643 | Target Updates: 0
[INFO:2023-05-03 09:04:02,903] Episode: 16 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.339 | Target Updates: 0
[INFO:2023-05-03 09:04:03,071] Episode: 17 | Timesteps Played: 111 | Mean Loss: 0.000 | Mean Reward: 0.541 | Target Updates: 0
[INFO:2023-05-03 09:04:03,292] Episode: 18 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.347 | Target Updates: 0
[INFO:2023-05-03 09:04:03,509] Episode: 19 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.710 | Target Updates: 0
[INFO:2023-05-03 09:04:03,781] Episode: 20 | Timesteps Played: 199 | Mean Loss: 0.000 | Mean Reward: 0.603 | Target Updates: 0
