[INFO:2023-05-03 09:18:30,059] Episode: 1 | Timesteps Played: 167 | Mean Loss: 0.000 | Mean Reward: 0.599 | Target Updates: 0
[INFO:2023-05-03 09:18:30,299] Episode: 2 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773 | Target Updates: 0
[INFO:2023-05-03 09:18:30,574] Episode: 3 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773 | Target Updates: 0
[INFO:2023-05-03 09:18:30,817] Episode: 4 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559 | Target Updates: 0
[INFO:2023-05-03 09:18:31,073] Episode: 5 | Timesteps Played: 203 | Mean Loss: 0.000 | Mean Reward: 0.640 | Target Updates: 0
[INFO:2023-05-03 09:18:31,300] Episode: 6 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.541 | Target Updates: 0
[INFO:2023-05-03 09:18:31,541] Episode: 7 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.785 | Target Updates: 0
[INFO:2023-05-03 09:18:31,761] Episode: 8 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.628 | Target Updates: 0
[INFO:2023-05-03 09:18:32,007] Episode: 9 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.518 | Target Updates: 0
[INFO:2023-05-03 09:18:32,222] Episode: 10 | Timesteps Played: 175 | Mean Loss: 0.000 | Mean Reward: 0.343 | Target Updates: 0
[INFO:2023-05-03 09:18:32,441] Episode: 11 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.466 | Target Updates: 0
[INFO:2023-05-03 09:18:32,653] Episode: 12 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559 | Target Updates: 0
[INFO:2023-05-03 09:18:32,875] Episode: 13 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.405 | Target Updates: 0
[INFO:2023-05-03 09:18:33,093] Episode: 14 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.615 | Target Updates: 0
[INFO:2023-05-03 09:18:33,303] Episode: 15 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.643 | Target Updates: 0
[INFO:2023-05-03 09:18:33,541] Episode: 16 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.339 | Target Updates: 0
[INFO:2023-05-03 09:18:33,696] Episode: 17 | Timesteps Played: 111 | Mean Loss: 0.000 | Mean Reward: 0.541 | Target Updates: 0
[INFO:2023-05-03 09:18:33,911] Episode: 18 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.347 | Target Updates: 0
[INFO:2023-05-03 09:18:34,133] Episode: 19 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.710 | Target Updates: 0
[INFO:2023-05-03 09:18:34,392] Episode: 20 | Timesteps Played: 199 | Mean Loss: 0.000 | Mean Reward: 0.603 | Target Updates: 0
[INFO:2023-05-03 09:18:34,624] Episode: 21 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.570 | Target Updates: 0
[INFO:2023-05-03 09:18:34,800] Episode: 22 | Timesteps Played: 123 | Mean Loss: 0.000 | Mean Reward: 0.488 | Target Updates: 0
[INFO:2023-05-03 09:18:34,972] Episode: 23 | Timesteps Played: 127 | Mean Loss: 0.000 | Mean Reward: 0.551 | Target Updates: 0
[INFO:2023-05-03 09:18:35,164] Episode: 24 | Timesteps Played: 165 | Mean Loss: 0.000 | Mean Reward: 0.606 | Target Updates: 0
[INFO:2023-05-03 09:18:35,378] Episode: 25 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.355 | Target Updates: 0
