[INFO:2023-05-03 10:16:21,413] Episode: 1 | Timesteps Played: 167 | Mean Loss: 0.000 | Mean Reward: 0.599 | Target Updates: 0
[INFO:2023-05-03 10:16:21,670] Episode: 2 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773 | Target Updates: 0
[INFO:2023-05-03 10:16:21,913] Episode: 3 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773 | Target Updates: 0
[INFO:2023-05-03 10:16:22,139] Episode: 4 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559 | Target Updates: 0
[INFO:2023-05-03 10:16:22,371] Episode: 5 | Timesteps Played: 203 | Mean Loss: 0.000 | Mean Reward: 0.640 | Target Updates: 0
[INFO:2023-05-03 10:16:22,591] Episode: 6 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.541 | Target Updates: 0
[INFO:2023-05-03 10:16:22,807] Episode: 7 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.785 | Target Updates: 0
[INFO:2023-05-03 10:16:23,043] Episode: 8 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.628 | Target Updates: 0
[INFO:2023-05-03 10:16:23,281] Episode: 9 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.518 | Target Updates: 0
[INFO:2023-05-03 10:16:23,505] Episode: 10 | Timesteps Played: 175 | Mean Loss: 0.000 | Mean Reward: 0.343 | Target Updates: 0
[INFO:2023-05-03 10:16:23,732] Episode: 11 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.466 | Target Updates: 0
[INFO:2023-05-03 10:16:23,960] Episode: 12 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.559 | Target Updates: 0
[INFO:2023-05-03 10:16:24,185] Episode: 13 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.405 | Target Updates: 0
[INFO:2023-05-03 10:16:24,396] Episode: 14 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.615 | Target Updates: 0
[INFO:2023-05-03 10:16:24,621] Episode: 15 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.643 | Target Updates: 0
[INFO:2023-05-03 10:16:24,842] Episode: 16 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.339 | Target Updates: 0
[INFO:2023-05-03 10:16:25,015] Episode: 17 | Timesteps Played: 111 | Mean Loss: 0.000 | Mean Reward: 0.541 | Target Updates: 0
[INFO:2023-05-03 10:16:25,247] Episode: 18 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.347 | Target Updates: 0
[INFO:2023-05-03 10:16:25,461] Episode: 19 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.710 | Target Updates: 0
[INFO:2023-05-03 10:16:25,698] Episode: 20 | Timesteps Played: 199 | Mean Loss: 0.000 | Mean Reward: 0.603 | Target Updates: 0
[INFO:2023-05-03 10:16:25,934] Episode: 21 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.570 | Target Updates: 0
[INFO:2023-05-03 10:16:26,102] Episode: 22 | Timesteps Played: 123 | Mean Loss: 0.000 | Mean Reward: 0.488 | Target Updates: 0
[INFO:2023-05-03 10:16:26,268] Episode: 23 | Timesteps Played: 127 | Mean Loss: 0.000 | Mean Reward: 0.551 | Target Updates: 0
[INFO:2023-05-03 10:16:26,471] Episode: 24 | Timesteps Played: 165 | Mean Loss: 0.000 | Mean Reward: 0.606 | Target Updates: 0
[INFO:2023-05-03 10:16:26,680] Episode: 25 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.355 | Target Updates: 0
[INFO:2023-05-03 10:16:26,919] Episode: 26 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.570 | Target Updates: 0
[INFO:2023-05-03 10:16:27,170] Episode: 27 | Timesteps Played: 195 | Mean Loss: 0.000 | Mean Reward: 0.564 | Target Updates: 0
[INFO:2023-05-03 10:16:27,391] Episode: 28 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.765 | Target Updates: 0
[INFO:2023-05-03 10:16:27,623] Episode: 29 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.733 | Target Updates: 0
[INFO:2023-05-03 10:16:27,852] Episode: 30 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.492 | Target Updates: 0
[INFO:2023-05-03 10:16:28,082] Episode: 31 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.622 | Target Updates: 0
[INFO:2023-05-03 10:16:28,291] Episode: 32 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.468 | Target Updates: 0
[INFO:2023-05-03 10:16:28,521] Episode: 33 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.576 | Target Updates: 0
[INFO:2023-05-03 10:16:28,697] Episode: 34 | Timesteps Played: 129 | Mean Loss: 0.000 | Mean Reward: 0.388 | Target Updates: 0
[INFO:2023-05-03 10:16:28,914] Episode: 35 | Timesteps Played: 181 | Mean Loss: 0.000 | Mean Reward: 0.552 | Target Updates: 0
[INFO:2023-05-03 10:16:29,138] Episode: 36 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.447 | Target Updates: 0
